ID,nom,description
OBJ-001,Déterminer les objectifs,Définir des objectifs intermédiaires permettant d'atteindre l'état final recherché.
OBJ-002,Accélérer un processus,"Accélérer un processus consiste à augmenter la vitesse à laquelle une série d'actions ou d'opérations est réalisée pour atteindre un résultat plus rapidement."
OBJ-003,Ralentir un processus,"Ralentir un processus implique de retarder délibérément son déroulement ou sa progression normale."
OBJ-004,Acquérir de l'information,"Actions juridiques, procédurales, techniques et humaines conçues pour collecter ou extraire des informations."
OBJ-005,Protéger de l'information,Empêcher l’accès non autorisé à l’information.
OBJ-006,Désinformer,"Induire un ennemi en erreur afin de le faire adopter une attitude inadéquate."
OBJ-007,Intoxiquer,"Injecter des informations erronées pour fausser le jugement."
OBJ-008,Simuler,"Masquer les préparatifs d’une opération et leurrer l’adversaire."
OBJ-009,Imiter,"Reconstituer des éléments fictifs pour tromper les moyens de reconnaissance."
OBJ-010,Dissimuler,"Cacher une information ou une action."
OBJ-011,Divulguer de l'information,Diffuser volontairement une information.
OBJ-012,Récolter de l'argent,Obtenir des ressources financières.
OBJ-013,Dégrader l'image de l'adversaire,"Porter atteinte à la réputation ou à la crédibilité."
OBJ-014,Motiver à agir,"Persuader, forcer ou provoquer une cible à agir."
OBJ-015,Provoquer,"Pousser une cible à une réaction."
OBJ-016,Encourager,"Inciter une cible à agir par des moyens directs ou indirects."
OBJ-017,Encourager la délation,"Inciter à dénoncer secrètement des comportements."
OBJ-018,Contraindre,"Forcer une cible à agir ou à cesser une action."
OBJ-019,Dissuader d'agir,"Empêcher une action par la crainte des conséquences."
OBJ-020,Dissuader,"Amener la cible à s’abstenir par peur des conséquences."
OBJ-021,Réduire au silence,"Empêcher ou intimider l’expression."
OBJ-022,Décourager,"Rendre la cible hésitante ou réticente à agir."
OBJ-023,Réparer un préjudice,"Obtenir compensation pour un dommage subi."
OBJ-024,Sanctionner un comportement,"Imposer des sanctions."
OBJ-025,Nuire,Causer un dommage intentionnel.
OBJ-026,Saboter,"Détruire ou endommager un système ou un processus."
OBJ-027,Diffamer ou calomnier,"Dénigrer un adversaire par des accusations infondées."
OBJ-028,Légitimer,"Faire reconnaître quelque chose comme légitime."
OBJ-029,Faire reconnaître l'existence d'un droit,"Promouvoir l’acceptation d’un droit légitime."
OBJ-030,Contenir,"Restreindre les manœuvres adverses."
